Member,Training,Tie Designation
George Gamow,Physicist,ALA
Alexander Rich,Biochemist,ARG
Paul Doty,Physical Chemist,ASP
Robert Ledley,Mathematical Biophysicist,ASN
Martynas Ycas,Biochemist,CYS
Robley Williams,Electron Microscopist,GLU
Alexander Dounce,Biochemist,GLN
Richard Feynman,Theoretical Physicist,GLY
Melvin Calvin,Chemist,HIS
Norman Simons,Biochemist,ISO
Edward Teller,Physicist,LEU
Erwin Chargaff,Biochemist,LYS
Nicholas Metropolis,Mathematician,MET
Gunther Stent,Physical Chemist,PHE
James Watson,Biologist,PRO
Harold Gordon,Biologist,SER
Leslie Orgel,Theoretical Chemist,THR
Max Delbruck,Theoretical Physicist,TRY
Francis Crick,Biologist,TYR
Sydney Brenner,Biologist,VAL
